	Sentence_A	Sentence_B	origin	frequency	freq_cat	pair_id	rating_anticonic_causal	rating_iconic_causal	rating_anticonic_temporal	rating_iconic_temporal	human_preferred_connective	human_preferred_connective_desc	human_preferred_connective_unrel	relation_human	order_human	condition_human	additional_dimension	connected_sent	tested_order	tested_relation	tested_connective
144	The girl skipped school.	The girl had not done her homework.	origin	170	3_common	4	9.066666666666666	4.933333333333334	5.466666666666667	3.066666666666667	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	The girl skipped school, so the girl had not done her homework.	A,B	Causal	so
145	The girl skipped school.	The girl had not done her homework.	origin	170	3_common	4	9.066666666666666	4.933333333333334	5.466666666666667	3.066666666666667	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	The girl skipped school, because the girl had not done her homework.	B,A	Causal	because
146	The girl skipped school.	The girl had not done her homework.	origin	170	3_common	4	9.066666666666666	4.933333333333334	5.466666666666667	3.066666666666667	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	The girl skipped school, after the girl had not done her homework.	B,A	Temporal	after
147	The girl skipped school.	The girl had not done her homework.	origin	170	3_common	4	9.066666666666666	4.933333333333334	5.466666666666667	3.066666666666667	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	The girl skipped school, then the girl had not done her homework.	A,B	Temporal	then
160	Mike stole a radio controlled car from a toy shop.	Mike wanted to have a radio controlled car.	origin	0	1_rare	5	8.8	3.933333333333333	5.4	2.333333333333333	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	Mike stole a radio controlled car from a toy shop, because Mike wanted to have a radio controlled car.	B,A	Causal	because
161	Mike stole a radio controlled car from a toy shop.	Mike wanted to have a radio controlled car.	origin	0	1_rare	5	8.8	3.933333333333333	5.4	2.333333333333333	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	Mike stole a radio controlled car from a toy shop, then Mike wanted to have a radio controlled car.	A,B	Temporal	then
162	Mike stole a radio controlled car from a toy shop.	Mike wanted to have a radio controlled car.	origin	0	1_rare	5	8.8	3.933333333333333	5.4	2.333333333333333	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	Mike stole a radio controlled car from a toy shop, so Mike wanted to have a radio controlled car.	A,B	Causal	so
163	Mike stole a radio controlled car from a toy shop.	Mike wanted to have a radio controlled car.	origin	0	1_rare	5	8.8	3.933333333333333	5.4	2.333333333333333	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	Mike stole a radio controlled car from a toy shop, after Mike wanted to have a radio controlled car.	B,A	Temporal	after
176	Mike wanted to have a radio controlled car.	Mike stole a radio controlled car from a toy shop.	origin	0	1_rare	5	3.2666666666666666	8.266666666666667	2.6666666666666665	6.0	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	Mike wanted to have a radio controlled car, because Mike stole a radio controlled car from a toy shop.	B,A	Causal	because
177	Mike wanted to have a radio controlled car.	Mike stole a radio controlled car from a toy shop.	origin	0	1_rare	5	3.2666666666666666	8.266666666666667	2.6666666666666665	6.0	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	Mike wanted to have a radio controlled car, then Mike stole a radio controlled car from a toy shop.	A,B	Temporal	then
178	Mike wanted to have a radio controlled car.	Mike stole a radio controlled car from a toy shop.	origin	0	1_rare	5	3.2666666666666666	8.266666666666667	2.6666666666666665	6.0	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	Mike wanted to have a radio controlled car, after Mike stole a radio controlled car from a toy shop.	B,A	Temporal	after
179	Mike wanted to have a radio controlled car.	Mike stole a radio controlled car from a toy shop.	origin	0	1_rare	5	3.2666666666666666	8.266666666666667	2.6666666666666665	6.0	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	Mike wanted to have a radio controlled car, so Mike stole a radio controlled car from a toy shop.	A,B	Causal	so
192	Susan became a drug dealer.	Susan wanted to make fast money.	origin	1029	4_frequent	6	8.533333333333333	2.4	7.133333333333334	1.6666666666666667	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	Susan became a drug dealer, after Susan wanted to make fast money.	B,A	Temporal	after
193	Susan became a drug dealer.	Susan wanted to make fast money.	origin	1029	4_frequent	6	8.533333333333333	2.4	7.133333333333334	1.6666666666666667	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	Susan became a drug dealer, because Susan wanted to make fast money.	B,A	Causal	because
194	Susan became a drug dealer.	Susan wanted to make fast money.	origin	1029	4_frequent	6	8.533333333333333	2.4	7.133333333333334	1.6666666666666667	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	Susan became a drug dealer, so Susan wanted to make fast money.	A,B	Causal	so
195	Susan became a drug dealer.	Susan wanted to make fast money.	origin	1029	4_frequent	6	8.533333333333333	2.4	7.133333333333334	1.6666666666666667	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	Susan became a drug dealer, then Susan wanted to make fast money.	A,B	Temporal	then
208	Susan wanted to make fast money.	Susan became a drug dealer.	origin	1008	4_frequent	6	2.466666666666667	9.266666666666667	4.466666666666667	7.266666666666667	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	Susan wanted to make fast money, because Susan became a drug dealer.	B,A	Causal	because
209	Susan wanted to make fast money.	Susan became a drug dealer.	origin	1008	4_frequent	6	2.466666666666667	9.266666666666667	4.466666666666667	7.266666666666667	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	Susan wanted to make fast money, so Susan became a drug dealer.	A,B	Causal	so
210	Susan wanted to make fast money.	Susan became a drug dealer.	origin	1008	4_frequent	6	2.466666666666667	9.266666666666667	4.466666666666667	7.266666666666667	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	Susan wanted to make fast money, after Susan became a drug dealer.	B,A	Temporal	after
211	Susan wanted to make fast money.	Susan became a drug dealer.	origin	1008	4_frequent	6	2.466666666666667	9.266666666666667	4.466666666666667	7.266666666666667	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	Susan wanted to make fast money, then Susan became a drug dealer.	A,B	Temporal	then
224	Kevin has a lot of debts.	Kevin spends lots of money on gambling.	origin	1029	4_frequent	7	9.066666666666666	3.333333333333333	6.466666666666667	3.866666666666666	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	Kevin has a lot of debts, because Kevin spends lots of money on gambling.	B,A	Causal	because
225	Kevin has a lot of debts.	Kevin spends lots of money on gambling.	origin	1029	4_frequent	7	9.066666666666666	3.333333333333333	6.466666666666667	3.866666666666666	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	Kevin has a lot of debts, after Kevin spends lots of money on gambling.	B,A	Temporal	after
226	Kevin has a lot of debts.	Kevin spends lots of money on gambling.	origin	1029	4_frequent	7	9.066666666666666	3.333333333333333	6.466666666666667	3.866666666666666	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	Kevin has a lot of debts, so Kevin spends lots of money on gambling.	A,B	Causal	so
227	Kevin has a lot of debts.	Kevin spends lots of money on gambling.	origin	1029	4_frequent	7	9.066666666666666	3.333333333333333	6.466666666666667	3.866666666666666	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	Kevin has a lot of debts, then Kevin spends lots of money on gambling.	A,B	Temporal	then
240	Kevin spends lots of money on gambling.	Kevin has a lot of debts.	origin	1031	4_frequent	7	4.066666666666666	8.466666666666667	4.333333333333333	4.8	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	Kevin spends lots of money on gambling, then Kevin has a lot of debts.	A,B	Temporal	then
241	Kevin spends lots of money on gambling.	Kevin has a lot of debts.	origin	1031	4_frequent	7	4.066666666666666	8.466666666666667	4.333333333333333	4.8	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	Kevin spends lots of money on gambling, after Kevin has a lot of debts.	B,A	Temporal	after
242	Kevin spends lots of money on gambling.	Kevin has a lot of debts.	origin	1031	4_frequent	7	4.066666666666666	8.466666666666667	4.333333333333333	4.8	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	Kevin spends lots of money on gambling, because Kevin has a lot of debts.	B,A	Causal	because
243	Kevin spends lots of money on gambling.	Kevin has a lot of debts.	origin	1031	4_frequent	7	4.066666666666666	8.466666666666667	4.333333333333333	4.8	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	Kevin spends lots of money on gambling, so Kevin has a lot of debts.	A,B	Causal	so
256	Whale meat is sold at a high price.	Whales are hunted.	origin	0	1_rare	8	6.666666666666667	8.333333333333334	5.533333333333333	3.333333333333333	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	Whale meat is sold at a high price, so whales are hunted.	A,B	Causal	so
257	Whale meat is sold at a high price.	Whales are hunted.	origin	0	1_rare	8	6.666666666666667	8.333333333333334	5.533333333333333	3.333333333333333	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	Whale meat is sold at a high price, because whales are hunted.	B,A	Causal	because
258	Whale meat is sold at a high price.	Whales are hunted.	origin	0	1_rare	8	6.666666666666667	8.333333333333334	5.533333333333333	3.333333333333333	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	Whale meat is sold at a high price, after whales are hunted.	B,A	Temporal	after
259	Whale meat is sold at a high price.	Whales are hunted.	origin	0	1_rare	8	6.666666666666667	8.333333333333334	5.533333333333333	3.333333333333333	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	Whale meat is sold at a high price, then whales are hunted.	A,B	Temporal	then
272	Whales are hunted.	Whale meat is sold at a high price.	origin	5	2_uncommon	8	7.6	5.333333333333333	4.666666666666667	7.933333333333334	then	iconic_temp	then	Temporal	A,B	Temporal-A,B	socially_challenging	Whales are hunted, then whale meat is sold at a high price.	A,B	Temporal	then
273	Whales are hunted.	Whale meat is sold at a high price.	origin	5	2_uncommon	8	7.6	5.333333333333333	4.666666666666667	7.933333333333334	then	iconic_temp	then	Temporal	A,B	Temporal-A,B	socially_challenging	Whales are hunted, so whale meat is sold at a high price.	A,B	Causal	so
274	Whales are hunted.	Whale meat is sold at a high price.	origin	5	2_uncommon	8	7.6	5.333333333333333	4.666666666666667	7.933333333333334	then	iconic_temp	then	Temporal	A,B	Temporal-A,B	socially_challenging	Whales are hunted, after whale meat is sold at a high price.	B,A	Temporal	after
275	Whales are hunted.	Whale meat is sold at a high price.	origin	5	2_uncommon	8	7.6	5.333333333333333	4.666666666666667	7.933333333333334	then	iconic_temp	then	Temporal	A,B	Temporal-A,B	socially_challenging	Whales are hunted, because whale meat is sold at a high price.	B,A	Causal	because
288	Mark is a Jehovah's Witness.	Mark refuses transfusions even if he is sick.	origin	1	1_rare	9	3.8	9.666666666666666	2.466666666666667	3.4	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	Mark is a jehovah's witness, after Mark refuses transfusions even if he is sick.	B,A	Temporal	after
289	Mark is a Jehovah's Witness.	Mark refuses transfusions even if he is sick.	origin	1	1_rare	9	3.8	9.666666666666666	2.466666666666667	3.4	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	Mark is a jehovah's witness, so Mark refuses transfusions even if he is sick.	A,B	Causal	so
290	Mark is a Jehovah's Witness.	Mark refuses transfusions even if he is sick.	origin	1	1_rare	9	3.8	9.666666666666666	2.466666666666667	3.4	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	Mark is a jehovah's witness, then Mark refuses transfusions even if he is sick.	A,B	Temporal	then
291	Mark is a Jehovah's Witness.	Mark refuses transfusions even if he is sick.	origin	1	1_rare	9	3.8	9.666666666666666	2.466666666666667	3.4	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	Mark is a jehovah's witness, because Mark refuses transfusions even if he is sick.	B,A	Causal	because
304	Mark refuses transfusions even if he is sick.	Mark is a Jehovah's Witness.	origin	0	1_rare	9	8.333333333333334	3.866666666666666	4.0	3.4	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	Mark refuses transfusions even if he is sick, then Mark is a jehovah's witness.	A,B	Temporal	then
305	Mark refuses transfusions even if he is sick.	Mark is a Jehovah's Witness.	origin	0	1_rare	9	8.333333333333334	3.866666666666666	4.0	3.4	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	Mark refuses transfusions even if he is sick, because Mark is a jehovah's witness.	B,A	Causal	because
306	Mark refuses transfusions even if he is sick.	Mark is a Jehovah's Witness.	origin	0	1_rare	9	8.333333333333334	3.866666666666666	4.0	3.4	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	Mark refuses transfusions even if he is sick, after Mark is a jehovah's witness.	B,A	Temporal	after
307	Mark refuses transfusions even if he is sick.	Mark is a Jehovah's Witness.	origin	0	1_rare	9	8.333333333333334	3.866666666666666	4.0	3.4	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	Mark refuses transfusions even if he is sick, so Mark is a jehovah's witness.	A,B	Causal	so
320	Tom has gained weight in the last year.	"Tom's friends call him ""fatty""."	origin	78	3_common	10	3.466666666666667	9.533333333333331	4.466666666666667	5.066666666666666	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	"Tom has gained weight in the last year, because Tom's friends call him ""fatty""."	B,A	Causal	because
321	Tom has gained weight in the last year.	"Tom's friends call him ""fatty""."	origin	78	3_common	10	3.466666666666667	9.533333333333331	4.466666666666667	5.066666666666666	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	"Tom has gained weight in the last year, then Tom's friends call him ""fatty""."	A,B	Temporal	then
322	Tom has gained weight in the last year.	"Tom's friends call him ""fatty""."	origin	78	3_common	10	3.466666666666667	9.533333333333331	4.466666666666667	5.066666666666666	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	"Tom has gained weight in the last year, after Tom's friends call him ""fatty""."	B,A	Temporal	after
323	Tom has gained weight in the last year.	"Tom's friends call him ""fatty""."	origin	78	3_common	10	3.466666666666667	9.533333333333331	4.466666666666667	5.066666666666666	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	"Tom has gained weight in the last year, so Tom's friends call him ""fatty""."	A,B	Causal	so
336	"Tom's friends call him ""fatty""."	Tom has gained weight in the last year.	origin	74	3_common	10	9.266666666666667	2.6666666666666665	9.066666666666666	1.4	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	"Tom's friends call him ""fatty"", so Tom has gained weight in the last year."	A,B	Causal	so
337	"Tom's friends call him ""fatty""."	Tom has gained weight in the last year.	origin	74	3_common	10	9.266666666666667	2.6666666666666665	9.066666666666666	1.4	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	"Tom's friends call him ""fatty"", because Tom has gained weight in the last year."	B,A	Causal	because
338	"Tom's friends call him ""fatty""."	Tom has gained weight in the last year.	origin	74	3_common	10	9.266666666666667	2.6666666666666665	9.066666666666666	1.4	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	"Tom's friends call him ""fatty"", after Tom has gained weight in the last year."	B,A	Temporal	after
339	"Tom's friends call him ""fatty""."	Tom has gained weight in the last year.	origin	74	3_common	10	9.266666666666667	2.6666666666666665	9.066666666666666	1.4	because	anticonic_caus	because	Causal	B,A	Causal-B,A	socially_challenging	"Tom's friends call him ""fatty"", then Tom has gained weight in the last year."	A,B	Temporal	then
352	Cindy can finally book a vacation around the world.	Cindy cheated to win the lottery.	origin	0	1_rare	11	6.666666666666667	2.466666666666667	7.866666666666666	1.4	after	anticonic_temp	after	Temporal	B,A	Temporal-B,A	socially_challenging	Cindy can finally book a vacation around the world, so Cindy cheated to win the lottery.	A,B	Causal	so
353	Cindy can finally book a vacation around the world.	Cindy cheated to win the lottery.	origin	0	1_rare	11	6.666666666666667	2.466666666666667	7.866666666666666	1.4	after	anticonic_temp	after	Temporal	B,A	Temporal-B,A	socially_challenging	Cindy can finally book a vacation around the world, then Cindy cheated to win the lottery.	A,B	Temporal	then
354	Cindy can finally book a vacation around the world.	Cindy cheated to win the lottery.	origin	0	1_rare	11	6.666666666666667	2.466666666666667	7.866666666666666	1.4	after	anticonic_temp	after	Temporal	B,A	Temporal-B,A	socially_challenging	Cindy can finally book a vacation around the world, after Cindy cheated to win the lottery.	B,A	Temporal	after
355	Cindy can finally book a vacation around the world.	Cindy cheated to win the lottery.	origin	0	1_rare	11	6.666666666666667	2.466666666666667	7.866666666666666	1.4	after	anticonic_temp	after	Temporal	B,A	Temporal-B,A	socially_challenging	Cindy can finally book a vacation around the world, because Cindy cheated to win the lottery.	B,A	Causal	because
368	Cindy cheated to win the lottery.	Cindy can finally book a vacation around the world.	origin	0	1_rare	11	1.6666666666666667	7.2	4.466666666666667	5.066666666666666	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	Cindy cheated to win the lottery, after Cindy can finally book a vacation around the world.	B,A	Temporal	after
369	Cindy cheated to win the lottery.	Cindy can finally book a vacation around the world.	origin	0	1_rare	11	1.6666666666666667	7.2	4.466666666666667	5.066666666666666	so	iconic_caus	so	Causal	A,B	Causal-A,B	socially_challenging	Cindy cheated to win the lottery, then Cindy can finally book a vacation around the world.	A,B	Temporal	then
